<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ЛУКОЙЛ;D;15/01/14;000000;1999.9;1106670
ЛУКОЙЛ;D;16/01/14;000000;1979.6;924031
ЛУКОЙЛ;D;17/01/14;000000;1978.4;921576
ЛУКОЙЛ;D;20/01/14;000000;1998.5;775057
ЛУКОЙЛ;D;21/01/14;000000;2000.5;871950
ЛУКОЙЛ;D;22/01/14;000000;2001.4;1081239
ЛУКОЙЛ;D;23/01/14;000000;1978.1;1125377
ЛУКОЙЛ;D;24/01/14;000000;1956.9;2479538
ЛУКОЙЛ;D;27/01/14;000000;1961.9;1859619
ЛУКОЙЛ;D;28/01/14;000000;1973.3;1386287
ЛУКОЙЛ;D;29/01/14;000000;1960;1974169
ЛУКОЙЛ;D;30/01/14;000000;1997.9;2090335
ЛУКОЙЛ;D;31/01/14;000000;1989;1453464
ЛУКОЙЛ;D;03/02/14;000000;1966.8;1167340
ЛУКОЙЛ;D;04/02/14;000000;1970.1;1076237
ЛУКОЙЛ;D;05/02/14;000000;1965;1013161
ЛУКОЙЛ;D;06/02/14;000000;1969.1;977121
ЛУКОЙЛ;D;07/02/14;000000;1975.1;1144232
ЛУКОЙЛ;D;10/02/14;000000;1988.1;733515
ЛУКОЙЛ;D;11/02/14;000000;2015.5;1142727
ЛУКОЙЛ;D;12/02/14;000000;2028.2;722540
ЛУКОЙЛ;D;13/02/14;000000;2023;1175613
ЛУКОЙЛ;D;14/02/14;000000;2039.3;1339871
ЛУКОЙЛ;D;17/02/14;000000;2049;983005
ЛУКОЙЛ;D;18/02/14;000000;2040.7;1316563
ЛУКОЙЛ;D;19/02/14;000000;2029.1;2933248
ЛУКОЙЛ;D;20/02/14;000000;2042;1903901
ЛУКОЙЛ;D;21/02/14;000000;2030.9;745743
ЛУКОЙЛ;D;24/02/14;000000;2030.3;460421
ЛУКОЙЛ;D;25/02/14;000000;2010.9;791773
ЛУКОЙЛ;D;26/02/14;000000;2009;913025
ЛУКОЙЛ;D;27/02/14;000000;2002;1350236
ЛУКОЙЛ;D;28/02/14;000000;1963;2899146
ЛУКОЙЛ;D;03/03/14;000000;1817.2;5355859
ЛУКОЙЛ;D;04/03/14;000000;1899.7;3795207
ЛУКОЙЛ;D;05/03/14;000000;1920;2094544
ЛУКОЙЛ;D;06/03/14;000000;1890;3287296
ЛУКОЙЛ;D;07/03/14;000000;1959.5;2372456
ЛУКОЙЛ;D;11/03/14;000000;1938.4;1746609
ЛУКОЙЛ;D;12/03/14;000000;1888.5;2454902
ЛУКОЙЛ;D;13/03/14;000000;1842;2204854
ЛУКОЙЛ;D;14/03/14;000000;1882;3769591
ЛУКОЙЛ;D;17/03/14;000000;1897.1;4816951
ЛУКОЙЛ;D;18/03/14;000000;1914.7;2280738
ЛУКОЙЛ;D;19/03/14;000000;1886;1750821
ЛУКОЙЛ;D;20/03/14;000000;1892;1233431
ЛУКОЙЛ;D;21/03/14;000000;1910;2777338
ЛУКОЙЛ;D;24/03/14;000000;1869.4;1364289
ЛУКОЙЛ;D;25/03/14;000000;1879.5;1502134
ЛУКОЙЛ;D;26/03/14;000000;1920;1361075
ЛУКОЙЛ;D;27/03/14;000000;1909;1021222
ЛУКОЙЛ;D;28/03/14;000000;1906;1153487
ЛУКОЙЛ;D;31/03/14;000000;1960;1276576
ЛУКОЙЛ;D;01/04/14;000000;1965.6;1362683
ЛУКОЙЛ;D;02/04/14;000000;1954;992362
ЛУКОЙЛ;D;03/04/14;000000;1954;812864
ЛУКОЙЛ;D;04/04/14;000000;1966;1020976
ЛУКОЙЛ;D;07/04/14;000000;1920;1677094
ЛУКОЙЛ;D;08/04/14;000000;1920;1649508
ЛУКОЙЛ;D;09/04/14;000000;1900;1384686
ЛУКОЙЛ;D;10/04/14;000000;1914.3;1667895
ЛУКОЙЛ;D;11/04/14;000000;1898.1;1271930
ЛУКОЙЛ;D;14/04/14;000000;1880;1287347
ЛУКОЙЛ;D;15/04/14;000000;1850;1020387
ЛУКОЙЛ;D;16/04/14;000000;1865;1361424
ЛУКОЙЛ;D;17/04/14;000000;1872;883479
ЛУКОЙЛ;D;18/04/14;000000;1899.9;817876
ЛУКОЙЛ;D;21/04/14;000000;1889;766651
ЛУКОЙЛ;D;22/04/14;000000;1873.4;882642
ЛУКОЙЛ;D;23/04/14;000000;1880.1;692986
ЛУКОЙЛ;D;24/04/14;000000;1856.7;1449802
ЛУКОЙЛ;D;25/04/14;000000;1838;1478607
ЛУКОЙЛ;D;28/04/14;000000;1865;1183596
ЛУКОЙЛ;D;29/04/14;000000;1889.3;1070149
ЛУКОЙЛ;D;30/04/14;000000;1880.1;730257
ЛУКОЙЛ;D;02/05/14;000000;1884.1;454313
ЛУКОЙЛ;D;05/05/14;000000;1866;555026
ЛУКОЙЛ;D;06/05/14;000000;1878.9;930030
ЛУКОЙЛ;D;07/05/14;000000;1919;1618829
ЛУКОЙЛ;D;08/05/14;000000;1942.8;1220582
ЛУКОЙЛ;D;12/05/14;000000;1950;1003047
ЛУКОЙЛ;D;13/05/14;000000;1931.3;962696
ЛУКОЙЛ;D;14/05/14;000000;1910.9;1339659
ЛУКОЙЛ;D;15/05/14;000000;1890;1219578
ЛУКОЙЛ;D;16/05/14;000000;1919;966261
ЛУКОЙЛ;D;19/05/14;000000;1938;1368914
ЛУКОЙЛ;D;20/05/14;000000;1979;1474751
ЛУКОЙЛ;D;21/05/14;000000;1995;1506062
ЛУКОЙЛ;D;22/05/14;000000;1965.2;1048420
ЛУКОЙЛ;D;23/05/14;000000;1957;845473
ЛУКОЙЛ;D;26/05/14;000000;1972;486429
ЛУКОЙЛ;D;27/05/14;000000;1930.3;1421152
ЛУКОЙЛ;D;28/05/14;000000;1944.9;759673
ЛУКОЙЛ;D;29/05/14;000000;1977.7;1115359
